authors;year;title;paper;censoring;model;approach;type;extension;covariates;tvc;datasets;simulation;code
Majakwara J, Mthisi PL and Chipoyera HW;2025;Enhancing Credit Risk Management Through Integration of Multiple Imputation Methodology and Long-Term Survival Modelling;https://doi.org/10.1002/asmb.70027;right;parametric;parametric;mixture;no;yes;no;yes;no;https://github.com/jmajakwara/Credit-risk.git
Toledo JSB, Tomazella VLD, Lima CMM and Felix MH;2023;Gompertz zero-inflated cure rate regression models applied to credit risk data;https://doi.org/10.1002/asmb.2732;right;parametric; parametric;promotion;zero-inflated;yes;;yes;yes;no
Nakano EY, Almeida FM and Cardial MRP;2025;A Mixture Model for Survival Data with Both Latent and Non-Latent Cure Fractions;https://doi.org/10.3390/stats8030082;right;parametric; parametric;mixture;no;yes;no;yes;no;no
Dong QL and Chi GT;2023;Small and medium-sized enterprises time to default an analysis using an improved mixture cure model with time-varying covariates; https://doi.org/10.21314/JCR.2022.013;right;non-parametric;machine;mixture;no;yes;yes;yes;yes;no
Tong ENC, Mues C, and Thomas LC;2012;Mixture cure models in credit scoring- If and when borrowers default;https://doi.org/10.1016/j.ejor.2011.10.007;right;Cox PH;semi-parametric;mixture;no;yes;no;yes;no;no
Pelaez R, Van Keilegom I, Cao R and Vilar JM;2024;Probability of default estimation in credit risk using mixture cure models;https://doi.org/10.1016/j.csda.2023.107853;right;kernel method;non-parametric;mixture;no;yes;no;yes;yes;no
Dirick L, Claeskens G, Vasnev A and Baesens B;2022;A hierarchical mixture cure model with unobserved heterogeneity for credit risk;https://doi.org/10.1016/j.ecosta.2020.12.002;right; parametric;parametric;mixture;CR;yes;no;yes;yes;no
Chakroun F, Abid L, Elarbi D, and Masmoudi A;2024;Gamma-lindley regression cure model for corporate credit default prediction;https://doi.org/10.1016/j.eswa.2024.125004;right;parametric; parametric;mixture;no;yes;no;yes;no;no
Escobar-Bach M and Van Keilegom I;2023;Nonparametric estimation of conditional cure models for heavy-tailed distributions and under insufficient follow-up; https://doi.org/10.1016/j.csda.2023.107728;right;non-parametric;non-parametric;mixture;no;yes;no;yes;yes;no
Beretta A, Heuchenne C and Restaino M;2022;Competing risks proportional-hazards cure model and generalized extreme value regression: an application to bank failures and acquisitions in the United States;https://doi.org/10.1080/02664763.2021.1973386;right;Cox PH;semi-parametric;mixture;CR;yes;no;yes;yes;no
Jiang CQ, Wang Z and Zhao HM;2019;A prediction-driven mixture cure model and its application in credit scoring; https://doi.org/10.1016/j.ejor.2019.01.072;right;RF;semi-parametric; mixture;no;yes;no;yes;no;no
Beretta A and Heuchenne C;2019;Variable selection in proportional hazards cure model with time-varying covariates, application to US bank failures; https://doi.org/10.1080/02664763.2018.1554627;right;Penalised PH;semi-parametric;mixture;no;yes;yes;yes;yes;no
Dirick L, Bellotti T, Claeskens G and Baesens B;2019;Macro-Economic Factors in Credit Risk Calculations: Including Time-Varying Covariates in Mixture Cure Models; https://doi.org/10.1080/07350015.2016.1260471;right;PH;semi-parametric;mixture;CR;yes;yes;yes;yes;no
Liu B and Sing TF;2018;"Cure" Effects and Mortgage Default: A Split Population Survival Time Model;https://doi.org/10.1007/s11146-017-9597-0;right;parametric;parametric; mixture;CR;yes;no;yes;no;no
Louzada F, Moreira FF and de Oliveira MR;2018;A zero-inflated non default rate regression model for credit scoring data;https://doi.org/10.1080/03610926.2017.1346803;right;parametric; parametric;mixture;Zero-inflated;yes;no;yes;yes;no
De Leonardis D and Rocci R;2014;Default risk analysis via a discrete-time cure rate model;https://doi.org/10.1002/asmb.1998;right;Dicrete PH;semi-parametric;mixture;no;yes;yes;yes;no;no
